Gene Symbol,Report Type,Report PMID,Primary Disorder(s),Associated Disorder(s)
ABAT,Primary,15830322,ASD,
ABAT,Recent Recommendation,16793827,,
ABAT,Highly Cited,3092125,,
ABAT,Support,31398340,ASD,
ABAT,Highly Cited,9554704,,
ABCA10,Primary,23352160,ASD,
ABCA13,Primary,22495311,ASD,
ABCA13,Support,22542183,ASD,
ABCA13,Support,25363760,ASD,
ABCA13,Support,27679817,,
ABCA13,Recent Recommendation,29092799,,
ABCA13,Support,31398340,ASD,
ABCA7,Primary,24360806,ASD,
ABCA7,Support,25363768,ASD,
ABCA7,Support,31398340,ASD,
ABCA7,Support,31674007,ASD,Macrocephaly
ACE,Support,25363768,ASD,
ACE,Primary,27082837,ASD,
ACE,Support,31398340,ASD,
ACHE,Support,25363760,ASD,
ACHE,Support,25363768,ASD,
ACHE,Recent Recommendation,26401017,ASD,
ACHE,Primary,26402605,ASD,
ACHE,Support,31838722,ASD,
ACTB,Support,25052316,Baraitser-Winter syndrome 1,
ACTB,Primary,25363760,ASD,
ACTB,Support,29220674,"DD, ID",ASD
ACTL6B,Support,26539891,"ID, epilepsy/seizures","Autistic behavior, microcephaly"
ACTL6B,Support,27171548,Rett syndrome,
ACTL6B,Support,28867142,ASD,
ACTL6B,Support,30656450,"DD, epilepsy/seizures",
ACTL6B,Primary,31031012,"DD, ID","Epilepsy/seizures, ASD or autistic features"
ACTL6B,Support,31036916,"DD, hypotonia",
ACTL6B,Support,31130284,Motor delay,"Hypertonia, GERD"
ACTL6B,Support,31134736,"DD, epilepsy/seizures",
ACTL6B,Recent Recommendation,32312822,ASD,"DD, ID, epilepsy/seizures"
ACTN4,Support,25363768,ASD,
ACTN4,Support,25533962,Unknown diagnosis,
ACTN4,Primary,25549968,ASD,
ACTN4,Recent Recommendation,30123108,,
ACY1,Highly Cited,16465618,,
ACY1,Support,17562838,,
ACY1,Primary,20480396,Aminoacylase 1 deficiency,ASD
ACY1,Support,21414403,Aminoacylase 1 deficiency,"ID, autistic features"
ACY1,Support,24117009,Aminoacylase 1 deficiency,ID
ACY1,Support,24997716,Aminoacylase 1 deficiency,ID
ACY1,Support,29653693,Aminoacylase 1 deficiency,"ID, autistic features"
ACY1,Support,31398340,ASD,
ACY1,Support,31674007,ASD,Macrocephaly
ADA,Positive Association,11121182,ASD,
ADA,Primary,11354825,ASD,
ADA,Recent Recommendation,16258000,,
ADA,Positive Association,17340203,ASD,
ADA,Support,28714951,ASD,
ADA,Support,31398340,ASD,
ADA,Highly Cited,4117384,,
ADAMTS18,Primary,23356391,Early-onset severe retinal dystrophy,ASD
ADAMTS18,Support,23818446,"Microcornea, myopic chorioretinal atrophy, and tel",
ADAMTS18,Support,28392909,Childhood disintegrative disorder,
ADAMTS18,Support,29346770,ASD,
ADAMTS18,Support,31398340,ASD,
ADARB1,Primary,22869036,ASD,
ADARB1,Support,23275889,ASD,
ADARB1,Support,31452935,ASD,
ADARB1,Support,32220291,"Neurodevelopmental disorder with hypotonia, microc",
ADARB1,Support,32719099,"Neurodevelopmental disorder with hypotonia, microc","DD, ID, epilepsy/seizures"
ADCY3,Primary,25363760,ASD,
ADCY3,Recent Recommendation,28263302,ASD,
ADCY5,Primary,22495309,ASD,
ADCY5,Support,23160955,ASD,
ADCY5,Support,25533962,Unknown diagnosis,
ADCY5,Support,27824329,ASD,
ADCY5,Support,28333917,Movement disorder,"Ataxia, chorea, dystonia, tremor"
ADCY5,Support,28831199,ASD,
ADK,Primary,21937992,ASD,
ADK,Support,28940097,"DD, epilepsy/seizures",
ADNP,Primary,22495309,ASD,
ADNP,Support,23160955,ASD,
ADNP,Recent Recommendation,24531329,Autosomal dominant mental retardation-28 (MRD28),"ASD, DD, ID, epilepsy"
ADNP,Recent Recommendation,25169753,ASD,ID
ADNP,Recent Recommendation,25178163,,
ADNP,Recent Recommendation,25363760,ASD,
ADNP,Support,25418537,ASD,
ADNP,Support,25533962,"ASD, DD, ID",
ADNP,Recent Recommendation,25646590,,
ADNP,Support,26168855,"ASD, ID",
ADNP,Recent Recommendation,26401017,ASD,
ADNP,Support,26402605,ASD,
ADNP,Support,26637798,ASD,
ADNP,Support,26845707,ASD,
ADNP,Support,27031564,Helsmoortel-Van der Aa syndrome,"ASD, DD, ID"
ADNP,Support,27479843,ID,
ADNP,Support,27525107,ASD,
ADNP,Support,27824329,ASD,
ADNP,Support,27848944,"Macrocephaly, white matter abnormalities",
ADNP,Support,28191889,"ASD, DD",
ADNP,Support,28263302,ASD,
ADNP,Support,28407407,DD,
ADNP,Support,28708303,ID,
ADNP,Support,29286531,"DD, ID, epilepsy/seizures","Stereotypic behavior, aggressive behavior"
ADNP,Support,29475819,Helsmoortel-Van der Aa syndrome,Autistic behavior
ADNP,Recent Recommendation,29724491,Helsmoortel-Van der Aa syndrome,ASD or autistic features
ADNP,Support,29780943,Helsmoortel-Van der Aa syndrome,"DD, ID"
ADNP,Support,29899371,Helsmoortel-Van der Aa syndrome,"ID, autistic features"
ADNP,Support,30107084,ID,ASD
ADNP,Support,30504930,ASD,
ADNP,Support,30555518,ASD,DD/ID
ADNP,Support,30564305,ASD,
ADNP,Support,30675382,ASD,
ADNP,Recent Recommendation,31029150,,
ADNP,Support,31038196,ASD,
ADNP,Support,31127536,"ASD, ID, Helsmoortel-van der Aa syndrome","ADHD, behavioral problems"
ADNP,Support,31130284,"ASD, epilepsy/seizures",
ADNP,Support,31406558,ASD,
ADNP,Support,31452935,ASD,
ADNP,Recent Recommendation,31664177,AD,
ADNP,Support,31981491,ASD,
ADNP,Support,32275126,Helsmoortel-Van der Aa syndrome,ASD
ADNP,Support,32714933,,
ADORA2A,Recent Recommendation,18184569,,
ADORA2A,Recent Recommendation,18832607,,
ADORA2A,Recent Recommendation,18953346,,
ADORA2A,Recent Recommendation,19443488,,
ADORA2A,Primary,19565319,ASD,22q11.2 deletion syndrome
ADORA2A,Highly Cited,7953635,,
ADORA2A,Highly Cited,9262401,,
ADORA3,Support,21705486,,
ADORA3,Primary,23953133,ASD,
ADRB2,Positive Association,16417856,ASD,
ADRB2,Recent Recommendation,17175110,,
ADRB2,Recent Recommendation,17179741,,
ADRB2,Primary,17199132,ASD,
ADRB2,Recent Recommendation,17952055,,
ADRB2,Recent Recommendation,17962520,,
ADRB2,Recent Recommendation,18485874,,
ADRB2,Recent Recommendation,20805681,,
ADRB2,Highly Cited,8837779,,
ADRB2,Highly Cited,9363896,,
ADSL,Highly Cited,1302001,ID,Autistic features
ADSL,Primary,15471876,ASD,
ADSL,Recent Recommendation,16403972,,
ADSL,Support,26539891,"DD, ID",
ADSL,Support,29286531,"DD, epilepsy/seizures",Developmental regression
ADSL,Highly Cited,6150139,Adenylosuccinase deficiency,"Autism, psychomotor delay"
ADSS2,Primary,25363760,ASD,
ADSS2,Support,26325558,ASD,
ADSS2,Recent Recommendation,31332282,ASD,
AFF2,Support,10424820,Fragile X syndrome,"MR, Epilepsy"
AFF2,Support,21739600,XLID,
AFF2,Support,22065534,DD,
AFF2,Support,22511880,ASD,
AFF2,Recent Recommendation,22773736,ASD,
AFF2,Support,23020937,ID,"Epilepsy, ASD"
AFF2,Support,23092983,ASD,ID
AFF2,Support,23352160,ASD,
AFF2,Support,23352163,ASD,
AFF2,Support,23849776,ASD,
AFF2,Support,25035088,ASD,
AFF2,Support,26544041,"DD, ID, epilepsy/seizures",
AFF2,Support,28263302,ASD,
AFF2,Support,30555518,ASD,DD/ID
AFF2,Primary,9034011,ASD,ADHD
AFF4,Highly Cited,10588740,,
AFF4,Recent Recommendation,20159561,,
AFF4,Recent Recommendation,21330300,,
AFF4,Primary,22495306,ASD,
AFF4,Recent Recommendation,22528490,,
AFF4,Recent Recommendation,25730767,CHOPS syndrome,"DD, ID"
AFF4,Recent Recommendation,26938441,,
AGAP1,Highly Cited,12388557,,
AGAP1,Recent Recommendation,15381706,,
AGAP1,Primary,15892143,ASD,
AGAP1,Recent Recommendation,16332543,,
AGAP1,Support,24410847,ASD,
AGAP1,Support,25363768,ASD,
AGAP1,Support,25533962,Unknown diagnosis,
AGAP1,Recent Recommendation,27713690,,
AGAP2,Primary,25363760,ASD,
AGAP2,Support,25363768,ASD,
AGAP2,Recent Recommendation,28263302,ASD,
AGAP2,Support,30564305,ASD,
AGAP5,Primary,32778826,ASD,
AGBL4,Primary,20531469,ASD,
AGBL4,Support,23275889,ASD,
AGBL4,Support,23632794,ASD,ID
AGMO,Primary,17363630,ASD,
AGMO,Support,20797689,ASD,
AGMO,Support,23275889,ASD,
AGMO,Support,25363760,ASD,
AGMO,Support,27667684,ASD,
AGMO,Support,31398340,ASD,
AGMO,Support,32372567,ASD,
AGO1,Support,23020937,ID,"Absent speech,motor delay"
AGO1,Support,25356899,"ID, epilepsy/seizures",Speech delay
AGO1,Primary,25363768,ASD,
AGO1,Support,27620904,"ID, autistic behavior, stereotypies","Speech delay, motor delay"
AGO1,Recent Recommendation,29346770,ASD,
AGO1,Recent recommendation,30213762,ID,Epilepsy/seizures
AGO1,Support,31038196,ASD,
AGO3,Primary,25363760,ASD,
AGO3,Support,28135719,DD,
AGO3,Support,28263302,ASD,
AGO3,Recent Recommendation,30559488,,
AGO4,Primary,25363760,ASD,
AGO4,Recent Recommendation,30559488,,
