query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection
query_1	TRUE	0.017397354	2802	7	6	0.857142857	0.002141328	GO:0050793	GO:BP	regulation of developmental process	17916	15571	"c(\GO:0032502\"", \""GO:0050789\"")"""	"IMP ISS,ISS IEA,IEA,IEA,NAS,IMP IEA"	"ADGRV1,BAG6,BTN2A2,DDHD2,FADS1,FLOT1"
query_1	TRUE	0.017397354	32	7	2	0.285714286	0.0625	GO:0070528	GO:BP	protein kinase C signaling	17916	19182	GO:0035556	"ISS,IMP IEA"	"ADGRV1,FLOT1"
query_1	TRUE	0.017397354	13	18	2	0.111111111	0.153846154	GO:0060353	GO:BP	regulation of cell adhesion molecule production	17916	17388	"c(\GO:0050794\"", \""GO:0060352\"")"""	"IMP,IMP"	"FLOT1,NOTCH4"
query_1	TRUE	0.017397354	15	18	2	0.111111111	0.133333333	GO:0060352	GO:BP	cell adhesion molecule production	17916	17387	GO:0009987	"IMP,IMP"	"FLOT1,NOTCH4"
query_1	TRUE	0.017397354	6	32	2	0.0625	0.333333333	GO:1990668	GO:BP	vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	17916	29268	GO:0006906	"TAS,TAS"	"TAP1,TAP2"
query_1	TRUE	0.017397354	231	32	5	0.15625	0.021645022	GO:0019882	GO:BP	antigen processing and presentation	17916	7050	GO:0002376	"IDA TAS IEA,IEA,TAS,IMP TAS IEA,IDA IMP IBA TAS IEA"	"HLA-DMA,HLA-DQB1,KLC1,TAP1,TAP2"
query_1	TRUE	0.017397354	4	32	2	0.0625	0.5	GO:0046967	GO:BP	cytosol to endoplasmic reticulum transport	17916	14685	"c(\GO:0046907\"", \""GO:0055085\"")"""	"IMP,IMP"	"TAP1,TAP2"
query_1	TRUE	0.020590378	286	7	3	0.428571429	0.01048951	GO:0031647	GO:BP	regulation of protein stability	17916	8478	GO:0065008	"ISS,IMP ISS IEA,IMP"	"ADGRV1,BAG6,FLOT1"
query_1	TRUE	0.021977483	172	32	4	0.125	0.023255814	GO:0002478	GO:BP	antigen processing and presentation of exogenous peptide antigen	17916	1148	"c(\GO:0019884\"", \""GO:0048002\"")"""	"TAS,TAS,TAS IEA,TAS"	"HLA-DMA,KLC1,TAP1,TAP2"
query_1	TRUE	0.021977483	18	19	2	0.105263158	0.111111111	GO:0007221	GO:BP	positive regulation of transcription of Notch receptor target	17916	3154	"c(\GO:0007219\"", \""GO:0045944\"")"""	"TAS,TAS"	"NOTCH4,PBX1"
query_1	TRUE	0.021977483	22	23	2	0.086956522	0.090909091	GO:0010738	GO:BP	regulation of protein kinase A signaling	17916	4919	"c(\GO:0010737\"", \""GO:1902531\"")"""	"ISS,IEA"	"ADGRV1,PDE10A"
query_1	TRUE	0.021977483	191	32	4	0.125	0.020942408	GO:0048002	GO:BP	antigen processing and presentation of peptide antigen	17916	14694	GO:0019882	"IDA TAS,TAS,IMP TAS IEA,IDA IMP IBA TAS IEA"	"HLA-DMA,KLC1,TAP1,TAP2"
query_1	TRUE	0.021977483	2	3	1	0.333333333	0.5	GO:0061857	GO:BP	endoplasmic reticulum stress-induced pre-emptive quality control	17916	18669	GO:0034976	IMP	BAG6
query_1	TRUE	0.021977483	5	1	1	1	0.2	GO:0048496	GO:BP	maintenance of animal organ identity	17916	15039	"c(\GO:0045596\"", \""GO:0048513\"")"""	IMP	ADGRV1
query_1	TRUE	0.021977483	2	2	1	0.5	0.5	GO:0018872	GO:BP	arsonoacetate metabolic process	17916	6340	"c(\GO:0006805\"", \""GO:0032787\"")"""	IDA IBA	AS3MT
query_1	TRUE	0.021977483	2	3	1	0.333333333	0.5	GO:1904327	GO:BP	protein localization to cytosolic proteasome complex	17916	27483	GO:0008104	NAS	BAG6
query_1	TRUE	0.021977483	2	3	1	0.333333333	0.5	GO:1904379	GO:BP	protein localization to cytosolic proteasome complex involved in ERAD pathway	17916	27535	"c(\GO:0036503\"", \""GO:1904327\"")"""	NAS	BAG6
query_1	TRUE	0.021977483	12	32	2	0.0625	0.166666667	GO:0019885	GO:BP	antigen processing and presentation of endogenous peptide antigen via MHC class I	17916	7053	"c(\GO:0002474\"", \""GO:0002483\"")"""	"IMP,IDA IMP IBA IEA"	"TAP1,TAP2"
query_1	TRUE	0.021977483	179	32	4	0.125	0.022346369	GO:0019884	GO:BP	antigen processing and presentation of exogenous antigen	17916	7052	GO:0019882	"TAS,TAS,TAS IEA,TAS"	"HLA-DMA,KLC1,TAP1,TAP2"
query_1	TRUE	0.021977483	21	18	2	0.111111111	0.095238095	GO:2000047	GO:BP	regulation of cell-cell adhesion mediated by cadherin	17916	29473	"c(\GO:0022407\"", \""GO:0044331\"")"""	"IMP IEA,IMP"	"FLOT1,NOTCH4"
query_1	TRUE	0.022810151	7	1	1	1	0.142857143	GO:0097264	GO:BP	self proteolysis	17916	22080	GO:0006508	ISS	ADGRV1
query_1	TRUE	0.025658555	3	3	1	0.333333333	0.333333333	GO:0036506	GO:BP	maintenance of unfolded protein	17916	11186	GO:0031647	IMP	BAG6
query_1	TRUE	0.025658555	3	3	1	0.333333333	0.333333333	GO:1904378	GO:BP	maintenance of unfolded protein involved in ERAD pathway	17916	27534	"c(\GO:0036503\"", \""GO:0036506\"")"""	IMP	BAG6
query_1	TRUE	0.025658555	18	32	2	0.0625	0.111111111	GO:0002483	GO:BP	antigen processing and presentation of endogenous peptide antigen	17916	1153	"c(\GO:0019883\"", \""GO:0048002\"")"""	"IMP,IDA IMP IBA IEA"	"TAP1,TAP2"
query_1	TRUE	0.027372181	10	1	1	1	0.1	GO:0090037	GO:BP	positive regulation of protein kinase C signaling	17916	21408	"c(\GO:0070528\"", \""GO:0090036\"", \""GO:1902533\"")"""	ISS	ADGRV1
