"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"	"parents"	"evidence_codes"	"intersection"
"query_1"	"TRUE"	"0.019003297884187"	"4"	"30"	"2"	"0.0666666666666667"	"0.5"	"GO:0046967"	"GO:BP"	"cytosol to endoplasmic reticulum transport"	"18092"	"14536"	"c(\"GO:0046907\", \"GO:0055085\")"	"IMP,IMP"	"TAP1,TAP2"
"query_1"	"TRUE"	"0.0201092889243737"	"6"	"30"	"2"	"0.0666666666666667"	"0.333333333333333"	"GO:1990668"	"GO:BP"	"vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane"	"18092"	"29079"	"GO:0006906"	"TAS,TAS"	"TAP1,TAP2"
"query_1"	"TRUE"	"0.0201092889243737"	"2648"	"7"	"6"	"0.857142857142857"	"0.00226586102719033"	"GO:0050793"	"GO:BP"	"regulation of developmental process"	"18092"	"15390"	"c(\"GO:0032502\", \"GO:0050789\")"	"IMP ISS,IMP ISS,IEA,IEA,NAS,IMP IEA"	"ADGRV1,BAG6,BTN2A2,DDHD2,FADS1,FLOT1"
"query_1"	"TRUE"	"0.0201092889243737"	"33"	"7"	"2"	"0.285714285714286"	"0.0606060606060606"	"GO:0070528"	"GO:BP"	"protein kinase C signaling"	"18092"	"18989"	"GO:0035556"	"ISS,IMP IBA IEA"	"ADGRV1,FLOT1"
"query_1"	"TRUE"	"0.0247471396266058"	"18"	"17"	"2"	"0.117647058823529"	"0.111111111111111"	"GO:0007221"	"GO:BP"	"positive regulation of transcription of Notch receptor target"	"18092"	"3139"	"c(\"GO:0007219\", \"GO:0045944\")"	"TAS,TAS"	"NOTCH4,PBX1"
"query_1"	"TRUE"	"0.0247471396266058"	"2"	"3"	"1"	"0.333333333333333"	"0.5"	"GO:1904379"	"GO:BP"	"protein localization to cytosolic proteasome complex involved in ERAD pathway"	"18092"	"27357"	"c(\"GO:0036503\", \"GO:1904327\")"	"NAS"	"BAG6"
"query_1"	"TRUE"	"0.0247471396266058"	"2"	"3"	"1"	"0.333333333333333"	"0.5"	"GO:1904327"	"GO:BP"	"protein localization to cytosolic proteasome complex"	"18092"	"27305"	"GO:0008104"	"NAS"	"BAG6"
"query_1"	"TRUE"	"0.0247471396266058"	"26"	"16"	"2"	"0.125"	"0.0769230769230769"	"GO:0060352"	"GO:BP"	"cell adhesion molecule production"	"18092"	"17196"	"GO:0009987"	"IMP,IMP"	"FLOT1,NOTCH4"
"query_1"	"TRUE"	"0.0247471396266058"	"23"	"16"	"2"	"0.125"	"0.0869565217391304"	"GO:0060353"	"GO:BP"	"regulation of cell adhesion molecule production"	"18092"	"17197"	"c(\"GO:0050794\", \"GO:0060352\")"	"IMP,IMP"	"FLOT1,NOTCH4"
"query_1"	"TRUE"	"0.0247471396266058"	"5"	"1"	"1"	"1"	"0.2"	"GO:0048496"	"GO:BP"	"maintenance of animal organ identity"	"18092"	"14885"	"c(\"GO:0045596\", \"GO:0048513\")"	"IMP"	"ADGRV1"
"query_1"	"TRUE"	"0.0247471396266058"	"28"	"16"	"2"	"0.125"	"0.0714285714285714"	"GO:0044331"	"GO:BP"	"cell-cell adhesion mediated by cadherin"	"18092"	"12781"	"GO:0098609"	"IMP IBA IEA,IMP"	"FLOT1,NOTCH4"
"query_1"	"TRUE"	"0.0247471396266058"	"13"	"30"	"2"	"0.0666666666666667"	"0.153846153846154"	"GO:0019885"	"GO:BP"	"antigen processing and presentation of endogenous peptide antigen via MHC class I"	"18092"	"7032"	"c(\"GO:0002474\", \"GO:0002483\")"	"IMP IBA,IDA IMP IBA IEA"	"TAP1,TAP2"
"query_1"	"TRUE"	"0.0247471396266058"	"2"	"2"	"1"	"0.5"	"0.5"	"GO:0018872"	"GO:BP"	"arsonoacetate metabolic process"	"18092"	"6319"	"c(\"GO:0006082\", \"GO:0006805\")"	"IDA IBA"	"AS3MT"
"query_1"	"TRUE"	"0.0247471396266058"	"2"	"3"	"1"	"0.333333333333333"	"0.5"	"GO:0061857"	"GO:BP"	"endoplasmic reticulum stress-induced pre-emptive quality control"	"18092"	"18476"	"GO:0034976"	"IMP"	"BAG6"
"query_1"	"TRUE"	"0.0247471396266058"	"302"	"7"	"3"	"0.428571428571429"	"0.00993377483443709"	"GO:0031647"	"GO:BP"	"regulation of protein stability"	"18092"	"8451"	"GO:0065008"	"ISS,IMP ISS,IMP"	"ADGRV1,BAG6,FLOT1"
"query_1"	"TRUE"	"0.0247471396266058"	"21"	"16"	"2"	"0.125"	"0.0952380952380952"	"GO:2000047"	"GO:BP"	"regulation of cell-cell adhesion mediated by cadherin"	"18092"	"29283"	"c(\"GO:0022407\", \"GO:0044331\")"	"IMP IBA IEA,IMP"	"FLOT1,NOTCH4"
"query_1"	"TRUE"	"0.0250001722775781"	"17"	"30"	"2"	"0.0666666666666667"	"0.117647058823529"	"GO:0002483"	"GO:BP"	"antigen processing and presentation of endogenous peptide antigen"	"18092"	"1142"	"c(\"GO:0019883\", \"GO:0048002\")"	"IMP IBA,IDA IMP IBA IEA"	"TAP1,TAP2"
"query_1"	"TRUE"	"0.0256651190212905"	"7"	"1"	"1"	"1"	"0.142857142857143"	"GO:0097264"	"GO:BP"	"self proteolysis"	"18092"	"21844"	"GO:0006508"	"ISS"	"ADGRV1"
"query_1"	"TRUE"	"0.0257713577360073"	"26"	"21"	"2"	"0.0952380952380952"	"0.0769230769230769"	"GO:0010738"	"GO:BP"	"regulation of protein kinase A signaling"	"18092"	"4898"	"c(\"GO:0010737\", \"GO:1902531\")"	"ISS,IEA"	"ADGRV1,PDE10A"
"query_1"	"TRUE"	"0.0282808819153438"	"3"	"3"	"1"	"0.333333333333333"	"0.333333333333333"	"GO:1904378"	"GO:BP"	"maintenance of unfolded protein involved in ERAD pathway"	"18092"	"27356"	"c(\"GO:0036503\", \"GO:0036506\")"	"IMP"	"BAG6"
"query_1"	"TRUE"	"0.0282808819153438"	"3"	"3"	"1"	"0.333333333333333"	"0.333333333333333"	"GO:0036506"	"GO:BP"	"maintenance of unfolded protein"	"18092"	"11152"	"GO:0031647"	"IMP"	"BAG6"
"query_1"	"TRUE"	"0.0299981910638469"	"10"	"1"	"1"	"1"	"0.1"	"GO:0090037"	"GO:BP"	"positive regulation of protein kinase C signaling"	"18092"	"21178"	"c(\"GO:0070528\", \"GO:0090036\", \"GO:1902533\")"	"ISS"	"ADGRV1"
"query_1"	"TRUE"	"0.0344327062645976"	"12"	"1"	"1"	"1"	"0.0833333333333333"	"GO:0010739"	"GO:BP"	"positive regulation of protein kinase A signaling"	"18092"	"4899"	"c(\"GO:0010737\", \"GO:0010738\", \"GO:1902533\")"	"ISS"	"ADGRV1"
"query_1"	"TRUE"	"0.0356793754273044"	"24"	"30"	"2"	"0.0666666666666667"	"0.0833333333333333"	"GO:0019883"	"GO:BP"	"antigen processing and presentation of endogenous antigen"	"18092"	"7030"	"GO:0019882"	"IMP IBA,IDA IMP IBA IEA"	"TAP1,TAP2"
