query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection
query_1	TRUE	3.91E-06	4	21	3	0.142857143	0.75	GO:0002399	GO:BP	MHC class II protein complex assembly	17916	1069	GO:0002396	"IDA,IDA IMP,IDA"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	3.91E-06	4	21	3	0.142857143	0.75	GO:0002503	GO:BP	peptide antigen assembly with MHC class II protein complex	17916	1173	"c(\GO:0002399\"", \""GO:0002495\"", \""GO:0002501\"")"""	"IDA,IDA,IDA"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	1.30E-05	6	21	3	0.142857143	0.5	GO:0002501	GO:BP	peptide antigen assembly with MHC protein complex	17916	1171	"c(\GO:0002396\"", \""GO:0034622\"", \""GO:0048002\"")"""	"IDA,IDA,IDA"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	1.71E-05	7	21	3	0.142857143	0.428571429	GO:0002396	GO:BP	MHC protein complex assembly	17916	1066	GO:0034622	"IDA,IDA IMP,IDA"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	0.000500926	172	22	5	0.227272727	0.029069767	GO:0002478	GO:BP	antigen processing and presentation of exogenous peptide antigen	17916	1148	"c(\GO:0019884\"", \""GO:0048002\"")"""	"TAS,TAS,IMP TAS,TAS,IDA TAS"	"HLA-C,HLA-DMA,HLA-DMB,HLA-DRB1,HLA-F"
query_1	TRUE	0.00050793	179	22	5	0.227272727	0.027932961	GO:0019884	GO:BP	antigen processing and presentation of exogenous antigen	17916	7052	GO:0019882	"TAS,TAS,IMP TAS,TAS,IDA TAS"	"HLA-C,HLA-DMA,HLA-DMB,HLA-DRB1,HLA-F"
query_1	TRUE	0.000598641	191	22	5	0.227272727	0.02617801	GO:0048002	GO:BP	antigen processing and presentation of peptide antigen	17916	14694	GO:0019882	"IDA TAS IEA,IDA TAS,IDA IMP TAS,IDA TAS,IDA IBA TAS IEA"	"HLA-C,HLA-DMA,HLA-DMB,HLA-DRB1,HLA-F"
query_1	TRUE	0.001325095	231	22	5	0.227272727	0.021645022	GO:0019882	GO:BP	antigen processing and presentation	17916	7050	GO:0002376	"IDA TAS IEA,IDA TAS IEA,IDA IMP TAS IEA,IDA TAS IEA,IDA IBA TAS IEA"	"HLA-C,HLA-DMA,HLA-DMB,HLA-DRB1,HLA-F"
query_1	TRUE	0.003979312	18	58	3	0.051724138	0.166666667	GO:0002483	GO:BP	antigen processing and presentation of endogenous peptide antigen	17916	1153	"c(\GO:0019883\"", \""GO:0048002\"")"""	"IDA,IDA IBA,IDA IMP IBA IEA"	"HLA-C,HLA-F,TAP2"
query_1	TRUE	0.005146791	13	13	2	0.153846154	0.153846154	GO:0036109	GO:BP	alpha-linolenic acid metabolic process	17916	10957	"c(\GO:0001676\"", \""GO:0033559\"")"""	"TAS,TAS"	"FADS1,FADS2"
query_1	TRUE	0.005146791	8	22	2	0.090909091	0.25	GO:0002480	GO:BP	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"	17916	1150	GO:0042590	"TAS,TAS"	"HLA-C,HLA-F"
query_1	TRUE	0.008018569	25	58	3	0.051724138	0.12	GO:0019883	GO:BP	antigen processing and presentation of endogenous antigen	17916	7051	GO:0019882	"IDA,IDA IBA,IDA IMP IBA IEA"	"HLA-C,HLA-F,TAP2"
query_1	TRUE	0.008018569	18	13	2	0.153846154	0.111111111	GO:0043651	GO:BP	linoleic acid metabolic process	17916	12598	"c(\GO:0001676\"", \""GO:0033559\"")"""	"TAS,TAS"	"FADS1,FADS2"
query_1	TRUE	0.012953635	679	22	6	0.272727273	0.008836524	GO:0002250	GO:BP	adaptive immune response	17916	920	GO:0006955	"IEA,IEA,IEA,IEA,IDA IMP IEA,IDA IMP IBA"	"BTN3A1,HLA-C,HLA-DMA,HLA-DMB,HLA-DRB1,HLA-F"
query_1	TRUE	0.014987217	87	22	3	0.136363636	0.034482759	GO:0060333	GO:BP	interferon-gamma-mediated signaling pathway	17916	17369	"c(\GO:0019221\"", \""GO:0071346\"")"""	"TAS,TAS,TAS"	"HLA-C,HLA-DRB1,HLA-F"
query_1	TRUE	0.015806212	95	21	3	0.142857143	0.031578947	GO:0019886	GO:BP	antigen processing and presentation of exogenous peptide antigen via MHC class II	17916	7054	"c(\GO:0002478\"", \""GO:0002495\"")"""	"TAS,IMP TAS,TAS"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	0.016351816	99	21	3	0.142857143	0.03030303	GO:0002495	GO:BP	antigen processing and presentation of peptide antigen via MHC class II	17916	1165	"c(\GO:0002504\"", \""GO:0048002\"")"""	"IDA TAS,IDA IMP TAS,IDA TAS"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	0.016351816	100	21	3	0.142857143	0.03	GO:0002504	GO:BP	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	17916	1174	GO:0019882	"IDA TAS IEA,IDA IMP TAS IEA,IDA TAS IEA"	"HLA-DMA,HLA-DMB,HLA-DRB1"
query_1	TRUE	0.016579836	2	2	1	0.5	0.5	GO:0018872	GO:BP	arsonoacetate metabolic process	17916	6340	"c(\GO:0006805\"", \""GO:0032787\"")"""	IDA IBA	AS3MT
query_1	TRUE	0.020094021	8	58	2	0.034482759	0.25	GO:0002476	GO:BP	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	17916	1146	"c(\GO:0002428\"", \""GO:0002483\"")"""	"IDA IBA,IMP"	"HLA-F,TAP2"
query_1	TRUE	0.020544006	2	3	1	0.333333333	0.5	GO:1904379	GO:BP	protein localization to cytosolic proteasome complex involved in ERAD pathway	17916	27535	"c(\GO:0036503\"", \""GO:1904327\"")"""	NAS	BAG6
query_1	TRUE	0.020544006	2	3	1	0.333333333	0.5	GO:1904327	GO:BP	protein localization to cytosolic proteasome complex	17916	27483	GO:0008104	NAS	BAG6
query_1	TRUE	0.020544006	2	3	1	0.333333333	0.5	GO:0061857	GO:BP	endoplasmic reticulum stress-induced pre-emptive quality control	17916	18669	GO:0034976	IMP	BAG6
query_1	TRUE	0.0214845	9	58	2	0.034482759	0.222222222	GO:0002428	GO:BP	antigen processing and presentation of peptide antigen via MHC class Ib	17916	1098	"c(\GO:0002475\"", \""GO:0048002\"")"""	"IDA IBA,IMP"	"HLA-F,TAP2"
query_1	TRUE	0.027258794	3	3	1	0.333333333	0.333333333	GO:0036506	GO:BP	maintenance of unfolded protein	17916	11186	GO:0031647	IMP	BAG6
