"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"	"parents"	"evidence_codes"	"intersection"
"query_1"	"TRUE"	"0.0352461004806226"	"13"	"12"	"2"	"0.166666666666667"	"0.153846153846154"	"GO:0036109"	"GO:BP"	"alpha-linolenic acid metabolic process"	"18092"	"10924"	"c(\"GO:0001676\", \"GO:0033559\", \"GO:0120254\")"	"TAS,TAS"	"FADS1,FADS2"
"query_1"	"TRUE"	"0.0414536409165042"	"2"	"2"	"1"	"0.5"	"0.5"	"GO:1904327"	"GO:BP"	"protein localization to cytosolic proteasome complex"	"18092"	"27305"	"GO:0008104"	"NAS"	"BAG6"
"query_1"	"TRUE"	"0.0414536409165042"	"2"	"2"	"1"	"0.5"	"0.5"	"GO:0061857"	"GO:BP"	"endoplasmic reticulum stress-induced pre-emptive quality control"	"18092"	"18476"	"GO:0034976"	"IMP"	"BAG6"
"query_1"	"TRUE"	"0.0414536409165042"	"21"	"12"	"2"	"0.166666666666667"	"0.0952380952380952"	"GO:0043651"	"GO:BP"	"linoleic acid metabolic process"	"18092"	"12529"	"c(\"GO:0001676\", \"GO:0033559\", \"GO:0120254\")"	"TAS,TAS"	"FADS1,FADS2"
"query_1"	"TRUE"	"0.0414536409165042"	"2"	"1"	"1"	"1"	"0.5"	"GO:0018872"	"GO:BP"	"arsonoacetate metabolic process"	"18092"	"6319"	"c(\"GO:0006082\", \"GO:0006805\")"	"IDA IBA"	"AS3MT"
"query_1"	"TRUE"	"0.0414536409165042"	"2"	"2"	"1"	"0.5"	"0.5"	"GO:1904379"	"GO:BP"	"protein localization to cytosolic proteasome complex involved in ERAD pathway"	"18092"	"27357"	"c(\"GO:0036503\", \"GO:1904327\")"	"NAS"	"BAG6"
"query_1"	"TRUE"	"0.046634057085328"	"3"	"2"	"1"	"0.5"	"0.333333333333333"	"GO:0036506"	"GO:BP"	"maintenance of unfolded protein"	"18092"	"11152"	"GO:0031647"	"IMP"	"BAG6"
"query_1"	"TRUE"	"0.046634057085328"	"3"	"2"	"1"	"0.5"	"0.333333333333333"	"GO:1904378"	"GO:BP"	"maintenance of unfolded protein involved in ERAD pathway"	"18092"	"27356"	"c(\"GO:0036503\", \"GO:0036506\")"	"IMP"	"BAG6"
"query_1"	"TRUE"	"9.74568551239461e-05"	"2"	"12"	"2"	"0.166666666666667"	"1"	"GO:0016213"	"GO:MF"	"linoleoyl-CoA desaturase activity"	"18694"	"3473"	"GO:0016215"	"IDA,TAS IEA"	"FADS1,FADS2"
"query_1"	"TRUE"	"0.000292162049948093"	"4"	"12"	"2"	"0.166666666666667"	"0.5"	"GO:0016215"	"GO:MF"	"acyl-CoA desaturase activity"	"18694"	"3474"	"GO:0016717"	"IDA IEA,TAS IEA"	"FADS1,FADS2"
