"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"	"parents"	"evidence_codes"	"intersection"
"query_1"	"TRUE"	"1.67177152838281e-07"	"69"	"4"	"4"	"1"	"0.0579710144927536"	"KEGG:04612"	"KEGG"	"Antigen processing and presentation"	"7747"	"299"	"KEGG:00000"	"KEGG,KEGG,KEGG,KEGG"	"HLA-DMA,HLA-DQB1,TAP1,TAP2"
"query_1"	"TRUE"	"1.80538933278689e-06"	"147"	"4"	"4"	"1"	"0.0272108843537415"	"KEGG:04145"	"KEGG"	"Phagosome"	"7747"	"259"	"KEGG:00000"	"KEGG,KEGG,KEGG,KEGG"	"HLA-DMA,HLA-DQB1,TAP1,TAP2"
"query_1"	"TRUE"	"3.92317396982907e-06"	"197"	"4"	"4"	"1"	"0.0203045685279188"	"KEGG:05169"	"KEGG"	"Epstein-Barr virus infection"	"7747"	"423"	"KEGG:00000"	"KEGG,KEGG,KEGG,KEGG"	"HLA-DMA,HLA-DQB1,TAP1,TAP2"
"query_1"	"TRUE"	"8.481332120567e-05"	"27"	"2"	"2"	"1"	"0.0740740740740741"	"KEGG:05310"	"KEGG"	"Asthma"	"7747"	"451"	"KEGG:00000"	"KEGG,KEGG"	"HLA-DMA,HLA-DQB1"
"query_1"	"TRUE"	"8.95328706458554e-05"	"487"	"4"	"4"	"1"	"0.0082135523613963"	"KEGG:05168"	"KEGG"	"Herpes simplex virus 1 infection"	"7747"	"422"	"KEGG:00000"	"KEGG,KEGG,KEGG,KEGG"	"HLA-DMA,HLA-DQB1,TAP1,TAP2"
"query_1"	"TRUE"	"9.0370889261882e-05"	"34"	"2"	"2"	"1"	"0.0588235294117647"	"KEGG:05330"	"KEGG"	"Allograft rejection"	"7747"	"456"	"KEGG:00000"	"KEGG,KEGG"	"HLA-DMA,HLA-DQB1"
"query_1"	"TRUE"	"9.1958765849371e-05"	"37"	"2"	"2"	"1"	"0.0540540540540541"	"KEGG:05332"	"KEGG"	"Graft-versus-host disease"	"7747"	"457"	"KEGG:00000"	"KEGG,KEGG"	"HLA-DMA,HLA-DQB1"
"query_1"	"TRUE"	"9.42370235618555e-05"	"40"	"2"	"2"	"1"	"0.05"	"KEGG:04940"	"KEGG"	"Type I diabetes mellitus"	"7747"	"368"	"KEGG:00000"	"KEGG,KEGG"	"HLA-DMA,HLA-DQB1"
"query_1"	"TRUE"	"0.000106318693249273"	"45"	"2"	"2"	"1"	"0.0444444444444444"	"KEGG:04672"	"KEGG"	"Intestinal immune network for IgA production"	"7747"	"320"	"KEGG:00000"	"KEGG,KEGG"	"HLA-DMA,HLA-DQB1"
"query_1"	"TRUE"	"0.000113664348419223"	"49"	"2"	"2"	"1"	"0.0408163265306122"	"KEGG:05320"	"KEGG"	"Autoimmune thyroid disease"	"7747"	"452"	"KEGG:00000"	"KEGG,KEGG"	"HLA-DMA,HLA-DQB1"
