#TF Name	#TF-SNP matches (genome-wide)	#TF-SNP hits (from query)	#Fraction of TF-SNP hits	#Enrichment	#P-value
GABPA	3926	1	0.000254712	8.743764646	0.108128008
NHLH1	12332	3	0.00024327	8.350961726	0.005783784
Foxq1	8293	2	0.000241167	8.278794164	0.024706318
HNF1A	5523	1	0.000181061	6.215466232	0.148723713
Pax2	6140	1	0.000162866	5.590882736	0.163913149
ESR2	12522	2	0.000159719	5.482833413	0.052069663
En1	6916	1	0.000144592	4.963565645	0.182636442
Gata4	6958	1	0.000143719	4.933604484	0.183637889
Mecom	7156	1	0.000139743	4.797096143	0.188342661
RFX5	14634	2	0.000136668	4.691542982	0.068396965
Rfx1	7546	1	0.000132521	4.549167771	0.197531267
USF2	7723	1	0.000129483	4.444907419	0.201667432
TAL1_GATA1	7799	1	0.000128222	4.401592512	0.20343693
USF1	7807	1	0.00012809	4.397082106	0.203622966
Gata1	7921	1	0.000126247	4.333798763	0.206269323
ESR1	24743	3	0.000121246	4.162149295	0.036133226
Nr1h3_Rxra	17483	2	0.000114397	3.927017102	0.092649925
ESRRA	9404	1	0.000106338	3.650363675	0.239912123
REST	19562	2	0.000102239	3.509663634	0.111680156
RFX2	10005	1	1.00E-04	3.431086457	0.253140668
NRF1	10231	1	9.77E-05	3.355294693	0.258055939
MAFF	10436	1	9.58E-05	3.289384822	0.262486773
PPARG	10468	1	9.55E-05	3.279329385	0.263176048
NR3C1	10696	1	9.35E-05	3.209425954	0.268068705
PPARG_RXRA	21593	2	9.26E-05	3.17955078	0.131151651
GATA3	10846	1	9.22E-05	3.165039646	0.271270003
NKX3-1	32759	3	9.16E-05	3.143687536	0.071206789
Tcf12	11250	1	8.89E-05	3.051379556	0.279823386
Tcf3	23038	2	8.68E-05	2.980121538	0.145446139
Sox2	11924	1	8.39E-05	2.878901375	0.293872458
MZF1_5-13	23898	2	8.37E-05	2.872878065	0.154102359
RUNX2	24218	2	8.26E-05	2.83491783	0.157348864
Myog	13245	1	7.55E-05	2.591771989	0.320625447
RUNX1	13397	1	7.46E-05	2.562366201	0.323638646
ZEB1	26974	2	7.41E-05	2.545267294	0.18579721
Meis1	13726	1	7.29E-05	2.500948565	0.330115398
EGR1	70916	5	7.05E-05	2.420329686	0.056845532
E2F4	14380	1	6.95E-05	2.387205841	0.342808366
Arnt_Ahr	75959	5	6.58E-05	2.259641385	0.071690379
SP2	111891	7	6.26E-05	2.147591317	0.045438355
E2F1	16499	1	6.06E-05	2.080612158	0.382321083
Gfi1b	16668	1	6.00E-05	2.059516439	0.385369189
Nr2e3	16683	1	5.99E-05	2.057664689	0.38563901
Zfx	84770	5	5.90E-05	2.024774095	0.102248689
NR2C2	19125	1	5.23E-05	1.79492915	0.428038035
E2F3	39019	2	5.13E-05	1.759554063	0.314648419
Ets1	22116	1	4.52E-05	1.552180322	0.47603968
TFAP2A	23552	1	4.25E-05	1.45754161	0.497646466
STAT2_STAT1	23666	1	4.23E-05	1.450520578	0.49932348
SP1	98565	4	4.06E-05	1.393111957	0.323515699
Klf4	50628	2	3.95E-05	1.356088331	0.434904851
Arnt	50634	2	3.95E-05	1.355927638	0.434964348
NFE2L1_MafG	79118	3	3.79E-05	1.301651457	0.406160531
JUN_FOS	26839	1	3.73E-05	1.279034986	0.543840081
TFAP2C	28651	1	3.49E-05	1.198143869	0.567480039
KLF5	61743	2	3.24E-05	1.111964757	0.538909881
NFATC2	63108	2	3.17E-05	1.087913418	0.550760368
EHF	32196	1	3.11E-05	1.066220027	0.610276836
Sox5	97886	3	3.06E-05	1.052081605	0.545623235
ZNF263	264957	8	3.02E-05	1.036485769	0.511248647
Spi1	33164	1	3.02E-05	1.035098902	0.621215635
SMAD2_SMAD3_SMAD4	33420	1	2.99E-05	1.027169958	0.624057357
E2F6	33466	1	2.99E-05	1.025758083	0.624565737
PLAG1	34341	1	2.91E-05	0.999622026	0.634107433
SOX10	139269	4	2.87E-05	0.985948632	0.58180906
FOXP1	77387	2	2.58E-05	0.88717795	0.661861102
Klf1	40693	1	2.46E-05	0.843585383	0.696537898
MZF1_1-4	126853	3	2.36E-05	0.811837797	0.719179432
FOXL1	45919	1	2.18E-05	0.747577691	0.739897837
ARID3A	187194	4	2.14E-05	0.733528211	0.800843594
Foxd3	47081	1	2.12E-05	0.729126824	0.748671771
SPIB	51243	1	1.95E-05	0.669906524	0.77776039
PAX5	51568	1	1.94E-05	0.665684533	0.779886194
Prrx2	381402	7	1.84E-05	0.63003377	0.937022624
Pax4	61499	1	1.63E-05	0.558188263	0.835977568
EGR2	154911	2	1.29E-05	0.443196674	0.943451414
ZNF354C	82971	1	1.21E-05	0.41373516	0.913420659
NFIC	82989	1	1.20E-05	0.413645423	0.913467169
Pdx1	102271	1	9.78E-06	0.33565742	0.951418314
Atoh1	16034	0	0	0	1
BATF_JUN	5193	0	0	0	1
BRCA1	29963	0	0	0	1
Bach1_Mafk	11016	0	0	0	1
Bcl6	10619	0	0	0	1
Bhlhe40	10582	0	0	0	1
CDX2	12537	0	0	0	1
CEBPA	4936	0	0	0	1
CEBPB	12839	0	0	0	1
CREB1	2289	0	0	0	1
CTCF	19639	0	0	0	1
Crx	4969	0	0	0	1
DUX4	5218	0	0	0	1
Ddit3_Cebpa	5085	0	0	0	1
EBF1	17744	0	0	0	1
ELF1	15680	0	0	0	1
ELF5	12009	0	0	0	1
ELK1	4312	0	0	0	1
ELK4	5406	0	0	0	1
Erg	14483	0	0	0	1
Esrrb	9067	0	0	0	1
FEV	13350	0	0	0	1
FLI1	13204	0	0	0	1
FOS	7086	0	0	0	1
FOSL1	8550	0	0	0	1
FOSL2	7698	0	0	0	1
FOXA1	11343	0	0	0	1
FOXC1	4843	0	0	0	1
FOXD1	11418	0	0	0	1
FOXF2	6917	0	0	0	1
FOXH1	5261	0	0	0	1
FOXI1	36768	0	0	0	1
FOXO3	12851	0	0	0	1
FOXP2	8105	0	0	0	1
Foxa2	8196	0	0	0	1
Foxo1	7162	0	0	0	1
GATA2	7926	0	0	0	1
Gfi1	7942	0	0	0	1
HIF1A_ARNT	5538	0	0	0	1
HINFP	819	0	0	0	1
HLF	3069	0	0	0	1
HNF1B	4052	0	0	0	1
HNF4A	11861	0	0	0	1
HNF4G	11382	0	0	0	1
HOXA5	6717	0	0	0	1
HSF1	10410	0	0	0	1
Hand1_Tcfe2a	6794	0	0	0	1
Hltf	4415	0	0	0	1
Hoxa9	4426	0	0	0	1
Hoxc9	5161	0	0	0	1
INSM1	17275	0	0	0	1
IRF1	165111	0	0	0	1
JUN	7179	0	0	0	1
JUNB	6262	0	0	0	1
JUND	7635	0	0	0	1
Lhx3	11508	0	0	0	1
MAFK	9281	0	0	0	1
MAX	12570	0	0	0	1
MEF2A	15162	0	0	0	1
MEF2C	20936	0	0	0	1
MYC_MAX	8238	0	0	0	1
Mafb	6619	0	0	0	1
Myb	5513	0	0	0	1
Myc	11374	0	0	0	1
Mycn	12554	0	0	0	1
Myod1	16791	0	0	0	1
NFE2_MAF	8296	0	0	0	1
NFIL3	6557	0	0	0	1
NFKB1	9607	0	0	0	1
NFYA	11787	0	0	0	1
NFYB	9103	0	0	0	1
NR2F1	8932	0	0	0	1
NR4A2	7321	0	0	0	1
Nfe2l2	9442	0	0	0	1
Nkx2-5	8744	0	0	0	1
Nkx3-2	4504	0	0	0	1
Nobox	6136	0	0	0	1
Nr5a2	17888	0	0	0	1
PBX1	6416	0	0	0	1
POU2F2	15079	0	0	0	1
PRDM1	26096	0	0	0	1
Pax6	4619	0	0	0	1
Pou5f1_Sox2	11420	0	0	0	1
REL	6202	0	0	0	1
RELA	5911	0	0	0	1
RORA_1	4503	0	0	0	1
RORA_2	5161	0	0	0	1
RXR_RAR_DR5	10022	0	0	0	1
Rxra	9788	0	0	0	1
SOX9	7886	0	0	0	1
SREBF1	17427	0	0	0	1
SREBF2	21666	0	0	0	1
SRF	10323	0	0	0	1
SRY	7466	0	0	0	1
STAT1	8010	0	0	0	1
STAT3	10149	0	0	0	1
Sox17	7520	0	0	0	1
Sox3	15577	0	0	0	1
Sox6	11563	0	0	0	1
Spz1	7946	0	0	0	1
Stat4	11441	0	0	0	1
Stat5a_Stat5b	9008	0	0	0	1
Stat6	12009	0	0	0	1
T	4282	0	0	0	1
TAL1_TCF3	6454	0	0	0	1
TBP	4491	0	0	0	1
TCF7L2	9221	0	0	0	1
TEAD1	8310	0	0	0	1
THAP1	11687	0	0	0	1
TP53	10743	0	0	0	1
TP63	27292	0	0	0	1
Tcfcp2l1	10304	0	0	0	1
YY1	11455	0	0	0	1
ZBTB33	2855	0	0	0	1
znf143	27486	0	0	0	1
