"protein_id"	"gene_name"
"ENSP00000485457"	"FO538757.2"
"ENSP00000485222"	"FO538757.1"
"ENSP00000485442"	"FO538757.1"
"ENSP00000485351"	"FO538757.1"
"ENSP00000411579"	"SAMD11"
"ENSP00000393181"	"SAMD11"
"ENSP00000342313"	"SAMD11"
"ENSP00000349216"	"SAMD11"
"ENSP00000412228"	"SAMD11"
"ENSP00000480870"	"SAMD11"
"ENSP00000482138"	"SAMD11"
"ENSP00000480678"	"SAMD11"
"ENSP00000478421"	"SAMD11"
"ENSP00000484256"	"SAMD11"
"ENSP00000484643"	"SAMD11"
"ENSP00000484820"	"SAMD11"
"ENSP00000482090"	"SAMD11"
"ENSP00000317992"	"NOC2L"
"ENSP00000343930"	"KLHL17"
"ENSP00000463694"	"KLHL17"
"ENSP00000479477"	"KLHL17"
"ENSP00000368720"	"PLEKHN1"
"ENSP00000368719"	"PLEKHN1"
"ENSP00000368717"	"PLEKHN1"
"ENSP00000462558"	"PLEKHN1"
"ENSP00000343864"	"PERM1"
"ENSP00000414022"	"PERM1"
"ENSP00000393198"	"HES4"
"ENSP00000304595"	"HES4"
"ENSP00000425085"	"HES4"
"ENSP00000485643"	"ISG15"
"ENSP00000485313"	"ISG15"
"ENSP00000368699"	"ISG15"
"ENSP00000368678"	"AGRN"
"ENSP00000400771"	"AGRN"
"ENSP00000484607"	"AGRN"
"ENSP00000410533"	"RNF223"
"ENSP00000368644"	"C1orf159"
"ENSP00000368629"	"C1orf159"
"ENSP00000400736"	"C1orf159"
"ENSP00000462798"	"C1orf159"
"ENSP00000463144"	"C1orf159"
"ENSP00000368624"	"C1orf159"
"ENSP00000368623"	"C1orf159"
"ENSP00000390635"	"C1orf159"
"ENSP00000464273"	"C1orf159"
"ENSP00000462517"	"C1orf159"
"ENSP00000416740"	"C1orf159"
"ENSP00000395935"	"C1orf159"
"ENSP00000464657"	"C1orf159"
"ENSP00000368538"	"TNFRSF4"
"ENSP00000353094"	"SDF4"
"ENSP00000435962"	"SDF4"
"ENSP00000263741"	"SDF4"
"ENSP00000384207"	"SDF4"
"ENSP00000368496"	"B3GALT6"
"ENSP00000329137"	"FAM132A"
"ENSP00000407565"	"UBE2J2"
"ENSP00000305826"	"UBE2J2"
"ENSP00000383718"	"UBE2J2"
"ENSP00000423880"	"UBE2J2"
"ENSP00000353653"	"UBE2J2"
"ENSP00000383719"	"UBE2J2"
"ENSP00000427024"	"UBE2J2"
"ENSP00000393301"	"UBE2J2"
"ENSP00000425419"	"UBE2J2"
"ENSP00000422103"	"UBE2J2"
"ENSP00000425543"	"UBE2J2"
"ENSP00000423480"	"UBE2J2"
"ENSP00000401898"	"UBE2J2"
"ENSP00000424342"	"UBE2J2"
"ENSP00000427244"	"UBE2J2"
"ENSP00000344857"	"UBE2J2"
"ENSP00000368411"	"SCNN1D"
"ENSP00000449804"	"SCNN1D"
