	rs6434928	rs1518367	rs11693528	rs2535629	rs4481150	rs832190	rs7432375	rs7618871	rs247910	rs4916723	rs911186	rs764284	rs3131010	rs3130908	rs707939	rs1265945	rs204995	rs2071278	rs7743252	rs9276933	rs11757367	rs4647903	rs11191419	rs7085104	rs174592	rs10791097	rs221902
AS3MT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.290411773	-0.33898769	NA	NA	NA
BAG6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.514270716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDHD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.737731606	NA	NA	NA	NA	NA
FADS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.391755373	NA	NA
FTCDNL1	NA	NA	-0.979414977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.990426249	NA	NA	NA	NA	NA	NA
ITIH4	NA	NA	NA	0.393946232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCCB	NA	NA	NA	NA	NA	NA	0.331063016	-0.331063016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCNX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.263401166
SF3B1	-0.380697245	-0.340152107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.556961173	NA
TAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.573738167	NA	NA	NA	NA	NA	NA	NA	NA
THOC7	NA	NA	NA	NA	NA	0.31192581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM161B-AS1	NA	NA	NA	NA	NA	NA	NA	NA	0.318211801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.659394731	-1.077574992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
