Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ABAT,4-aminobutyrate aminotransferase,18,"GABAT, NPD009, GABA-AT, GABA transaminase",16,16p13.2,P80404,613163,The encoded protein mediates catabolism of GABA into succinic semialdehyde.,Genetic Association,"Genetic association has been found between the ABAT gene and autism in an IMGSAC cohort (Barnby et al., 2005).",5,0,,0,,15830322,"3092125,9554704",16793827,31398340
ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",10349,EST698739,17,17q24.3,Q8WWZ4,612508,The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. The probable transporter encoded by this gene may play a role in macrophage lipid homeostasis.,Rare single gene variant,"A recurrent homozygous nonsense variant in the ABCA10 gene (p.Arg1322Ter) was found to segregate with ASD in two out of four multiplex families (Lim et al., 2013).",1,0,,0,,23352160,,,
ABCA13,ATP binding cassette subfamily A member 13,154664,,7,7p12.3,Q86UQ4,607807,"In human, the ATP-binding cassette (ABC) family of transmembrane transporters has at least 48 genes and 7 gene subfamilies. This gene is a member of ABC gene subfamily A (ABCA). Genes within the ABCA family typically encode several thousand amino acids. Like other ABC transmembrane transporter proteins, this protein has 12 or more transmembrane alpha-helix domains that likely arrange to form a single central chamber with multiple substrate binding sites. It is also predicted to have two large extracellular domains and two nucleotide binding domains as is typical for ABCA proteins.",Rare single gene variant,"De novo missense variants in the ABCA13 gene have been identified in ASD probands in whole-exome sequencing studies (Neale et al., 2012; Iossifov et al., 2012; De Rubeis et al., 2014). A heterozygous deletion disrupting the ABCA13 gene was identified in a Japanese macaque that spontaneously displayed autistic traits such as impaired social ability and restricted and repetitive behaviors; no CNVs affecting ABCA13 were observed in a control group of 335 Japanese macaques (Yoshida et al., 2016). Pan-neuron-specific knockdown of a gene in Drosophila that shows high homology to human ABCA genes, including ABCA13, resulted in impaired social interactions and early onset of evening activity in adult flies, as well as an increase in satellite boutons in presynaptic terminals of motor neurons in third instar larvae (Ueoka et al., 2017).",6,0,,0,,22495311,,29092799,"22542183,25363760,27679817,31398340"
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",10347,"ABCA-SSN, ABCX",19,19p13.3,Q8IZY2,605414,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. It plays a role in phagocytosis by macrophages of apoptotic cells and may function in apolipoprotein-mediated phospholipid efflux from cells, mediate cholesterol efflux, and regulate cellular ceramide homeostasis during keratinocytes differentiation.",Rare single gene variant,"ABCA7 showed the strongest evidence of being associated with autism (OR=8.5  0.75) with all rare variant transmission disequilibrium test (RV-TDT) methods (range of p-values, 1.4E-04 to 2.9E-04) that were used to analyze exome data from 199 autism trios from the Simons Simplex Collection (He et al., 2014).",4,0,,0,,24360806,,,"25363768,31398340,31674007"
ACE,angiotensin I converting enzyme,1636,"ACE1, CD143, DCP, DCP1, ICH, MVCD3",17,17q23.3,P12821,106180,"This gene encodes an enzyme that plays a key role in the renin-angiotensin system and is involved in catalyzing the conversion of angiotensin I into a physiologically active peptide angiotensin II, a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance.",Rare single gene variant,"Association between two polymorphisms of the ACE gene thought to regulate the level of enzyme activity (the insertion/deletion polymorphism and rs4343) and autism was observed in a case-control analysis of 120 Iranian ASD cases and 120 age and sex-matched controls of Caucasin origin (Firouzabadi et al., 2016). A de novo predicted damaging missense variant in the ACE gene was observed in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014), however this variant was also reported in dbSNP.",3,0,,0,,27082837,,,"25363768,31398340"
ACHE,Acetylcholinesterase (Yt blood group),43,"ACEE, ARACHE, N-ACHE, YT",7,7q22.1,P22303,100740,"Acetylcholinesterase hydrolyzes the neurotransmitter acetylcholine at neuromuscular junctions and brain cholinergic synapses, and thus terminates signal transmission. Role in neuronal apoptosis.",Rare single gene variant,"This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015).",5,0,,0,,26402605,,26401017,"25363760,25363768,31838722"
ACTB,actin beta,60,"BRWS1, PS1TP5BP1",7,7p22.1,P60709,102630,"This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a major constituent of the contractile apparatus and one of the two nonmuscle cytoskeletal actins that are ubiquitously expressed. Mutations in this gene cause Baraitser-Winter syndrome 1, which is characterized by intellectual disability with a distinctive facial appearance in human patients.",Syndromic,"A de novo missense variant in the ACTB gene has been identified in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014).  Gain-of-function variants in the ACTB gene are associated with Baraitser-Winter syndrome 1 (BRWS; OMIM 243310), and while intellectual disability is frequently observed in individals with this syndrome (29/33 in Verloes et al., 2015), to date the prevalence of ASD or autistic features has not been examined.  Cuvertino et al., 2017 reported 33 individuals with loss-of-function variants in the ACTB gene who presented with developmental delay, apparent intellectual disability, increased frequency of internal organ malformations, growth retardation, and a recognizable facial gestalt hat was distinct from characteristics of individuals with BRWS; five individuals from this cohort presented with autism spectrum disorder.",3,0,,0,,25363760,,,"25052316,29220674"
ACTL6B,actin like 6B,51412,"ACTL6, BAF53B, arpNalpha",7,7q22.1,O94805,612458,"The protein encoded by this gene is a member of a family of actin-related proteins (ARPs) which share significant amino acid sequence identity to conventional actins. Both actins and ARPs have an actin fold, which is an ATP-binding cleft, as a common feature. The ARPs are involved in diverse cellular processes, including vesicular transport, spindle orientation, nuclear migration and chromatin remodeling. This gene encodes a subunit of the BAF (BRG1/brm-associated factor) complex in mammals, which is functionally related to SWI/SNF complex in S. cerevisiae and Drosophila; the latter is thought to facilitate transcriptional activation of specific genes by antagonizing chromatin-mediated transcriptional repression. This subunit may be involved in the regulation of genes by structural modulation of their chromatin, specifically in the brain.",Rare single gene variant,"Analysis of 135 ASD probands from consanguineous marriages recruited for the Simons Recessive Autism Cohort (SRAC) in Wenderski et al., 2000 identified six families with segregating loss-of-function variants in ACTL6B; when considering all coding genes, ACTL6B showed genome-wide significance for variants in the SRAC.  In the same report, Actl6b knockout mice on two genetic backgrounds displayed ASD-associated behaviors, including social and memory impairments, repetitive behaviors, hyperactivity, and hypoplasia of the corpus callosum.  Bell et al., 2019 had previously demonstrated that individuals harboring biallelic mutations in the ACTL6B gene presented with a neurodevelopmental disorder characterized by global developmental delay, epileptic encephalopathy, axial hypotonia, and spasticity, whereas individuals with de novo heterozygous missense variants in the same gene presented with intellectual disability, developmental delay, delayed or absent speech, ambulation deficits, hypotonia, autism or autistic features, Rett-like stereotypies such as handwringing, and minor facial dysmorphisms (wide mouth, diastema, bulbous nose).  Homozygous variants in the ACTL6B gene had previously been identified in three individuals from two families presenting with severe developmental and epileptic encephalopathy in Fichera et al., 2019, as well as in two siblings presenting with intellectual disability, seizures, and autistic behaviors (Karaca et al., 2015) and a female patient diagnosed with atypical Rett syndrome (Sajan et al., 2017).  A postzygotic mosaic coding-synonymous variant that was predicted to create a new exonic splicing site in the ACTL6B gene was observed in an ASD proband from the Simons Simplex Collection in Krupp et al., 2017.",9,0,,0,,31031012,,32312822,"26539891,27171548,28867142,30656450,31036916,31130284,31134736"
ACTN4,actinin alpha 4,81,"ACTININ-4, FSGS, FSGS1",19,19q13.2,O43707,604638,This gene encoded a F-actin cross-linking protein that is thought to anchor actin to a variety of intracellular structures.,Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module; sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism (Li et al., 2014).",4,0,,0,,25549968,,30123108,"25363768,25533962"
ACY1,aminoacylase 1,95,"ACY-1, ACY1D",3,3p21.2,Q03154,104620,"This gene encodes a cytosolic, homodimeric, zinc-binding enzyme that catalyzes the hydrolysis of acylated L-amino acids to L-amino acids and an acyl group, and has been postulated to function in the catabolism and salvage of acylated amino acids. Mutations in this gene cause aminoacylase-1 deficiency (ACY1D) [MIM:609924], a metabolic disorder characterized by central nervous system defects and increased urinary excretion of N-acetylated amino acids.",Syndromic,"A homozyous missense variant in the ACY1 gene (c.1057C>T; p.Arg353Cys) was identified in a patient with ACY1 deficiency who was diagnosed with autistic syndrome (Tylki-Szymanska et al., 2010).  Autistic features have also been reported in other individuals with ACY1 deficiency (Sommer et al., 2011; Alessandri et al., 2018).",9,0,,0,,20480396,16465618,,"17562838,21414403,24117009,24997716,29653693,31398340,31674007"
