	rs6434928	rs1518367	rs11693528	rs2535629	rs4481150	rs832190	rs7432375	rs7618871	rs247910	rs4916723	rs911186	rs764284	rs3131010	rs3130908	rs707939	rs1265945	rs204995	rs2071278	rs7743252	rs9276933	rs11757367	rs4647903	rs11191419	rs7085104	rs174592	rs10791097	rs221902
AS3MT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.48E-20	4.48E-20	NA	NA	NA
BAG6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025352572	0.038288605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDHD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.94E-05	NA	NA	NA	NA	NA
FADS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000106342	NA	NA
FTCDNL1	NA	NA	4.33E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003049831	0.010480831	0.000492636	NA	2.05E-12	NA	NA	NA	NA	NA	NA	NA
ITIH4	NA	NA	NA	5.40E-09	0.012538924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCCB	NA	NA	NA	NA	NA	NA	3.47E-08	3.47E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCNX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.55E-11
SF3B1	0.010310805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.44E-09	NA
TAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23E-05	NA	NA	NA	NA	NA	NA	NA	NA
THOC7	NA	NA	NA	NA	NA	6.55E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM161B-AS1	NA	NA	NA	NA	NA	NA	NA	NA	3.59E-12	3.04E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000233929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
