protein	tissue	expression	shared_yes_no	shared	regulation_up_down_both	regulation	regulation_type	snps	logTPM
AS3MT	fetal	25.0153	yes	2	down	1	Cis	"rs7085104, rs11191419"	1.415228838
BORCS7	fetal	25.4786	no	1	down	1	Cis	"rs7914558, rs7085104"	1.422895019
DHX38	fetal	60.9187	no	1	up	2	Cis	rs3812984	1.79182183
FADS1	fetal	67.2855	yes	2	down	1	Cis	rs174592	1.834328494
FADS2	fetal	111.315	no	1	up	2	Cis	rs174592	2.050437761
FTCDNL1	fetal	1.44784	yes	2	down	1	Cis	rs11693528	0.388783027
GNL3	fetal	104.067	no	1	down	1	Cis	"rs2535629, rs3617, rs4481150"	2.021466332
HCG27	fetal	2.99943	no	1	up	2	Cis	rs2853918	0.6019981
HLA-C	fetal	11.0522	no	1	both	3	Cis	"rs2853918, rs1419664, rs2442732"	1.08106633
HLA-DMA	fetal	0.328628	yes	2	up	2	Cis	rs11757367	0.123403401
HLA-DMB	fetal	0.273688	no	1	up	2	Cis	rs9276933	0.105063057
HLA-DRB1	fetal	1.25077	no	1	down	1	Cis	rs3129968	0.352331118
HLA-F	fetal	0.144028	no	1	up	2	Cis	rs2844805	0.058436654
ITIH4	fetal	4.56658	yes	2	up	2	Cis	rs2535629	0.745588455
LY6G5C	fetal	5.99167	no	1	both	3	Cis	"rs3130486, rs707939"	0.844580922
MFSD13A	fetal	10.7152	no	1	up	2	Cis	rs4244354	1.068749707
MPHOSPH9	fetal	33.5779	no	1	up	2	Cis	"rs1615350, rs2851447"	1.538798614
NDRG4	fetal	95.811	no	1	both	3	Cis	"rs11641947, rs7184114"	1.985924706
NDUFA6	fetal	116.31	no	1	up	2	Cis	rs760648	2.069335035
NEK4	fetal	58.5241	no	1	down	1	Cis	"rs2535629, rs3617, rs4481150"	1.774692838
NT5DC2	fetal	76.1699	no	1	up	2	Cis	rs2115780	1.887447937
PGBD1	fetal	40.0301	no	1	up	2	Cis	"rs6921919, rs1150688"	1.613102575
RTN1	fetal	453.675	no	1	down	1	Cis	rs12894153	2.657701075
SF3B1	fetal	264.711	yes	2	down	1	Cis	"rs6434928, rs1518367"	2.424409534
STAB1	fetal	3.63331	no	1	both	3	Cis	"rs2535629, rs4481150, rs2115780"	0.665891358
TAP2	fetal	2.64882	yes	2	up	2	Cis	rs7743252	0.56215244
TBL1X	fetal	4.36091	no	1	down	1	Trans-interchromosomal	rs11740474	0.729238516
TCF19	fetal	11.4578	no	1	up	2	Cis	rs9263985	1.095441354
THOC7	fetal	59.8134	yes	2	up	2	Cis	rs832190	1.783999285
TMEM110	fetal	20.656	no	1	up	2	Cis	"rs2535629, rs3617, rs4481150"	1.335578243
TYW5	fetal	14.4688	no	1	down	1	Cis	rs11693528	1.189456624
VARS2	fetal	52.1009	no	1	down	1	Cis	"rs1264323, rs3132571"	1.725101882
VWA7	fetal	1.81072	no	1	up	2	Cis	rs3130486	0.448817584
WBP1L	fetal	41.5038	no	1	up	2	Cis	"rs10883832, rs11191582, rs11191580, rs11191454"	1.628427759
ZKSCAN7	fetal	27.4915	no	1	up	2	Cis	rs4682973	1.454715314
ZSCAN23	fetal	25.7583	no	1	both	3	Cis	"rs202906, rs6921919, rs200986, rs3930883, rs1150688, rs7748643"	1.427458519
