"gene"	"pLI"	"intolerant"	"interaction_type"	"snp"	"log2_aFC"
"MED13"	1	"Intolerant"	"non-eQTL"	NA	NA
"NIPBL"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMC3"	1	"Intolerant"	"non-eQTL"	NA	NA
"CNOT1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RLF"	1	"Intolerant"	"non-eQTL"	NA	NA
"PCF11"	1	"Intolerant"	"non-eQTL"	NA	NA
"FNDC3B"	1	"Intolerant"	"non-eQTL"	NA	NA
"TAF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RSF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NCKAP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KDM2A"	1	"Intolerant"	"non-eQTL"	NA	NA
"BRD4"	1	"Intolerant"	"non-eQTL"	NA	NA
"HELZ"	1	"Intolerant"	"non-eQTL"	NA	NA
"FBN1"	1	"Intolerant"	"non-eQTL"	NA	NA
"XPO1"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRR12"	1	"Intolerant"	"non-eQTL"	NA	NA
"USP9X"	1	"Intolerant"	"non-eQTL"	NA	NA
"POLA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SYNGAP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRKDC"	1	"Intolerant"	"non-eQTL"	NA	NA
"HDAC4"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMG1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZC3H4"	1	"Intolerant"	"non-eQTL"	NA	NA
"COL5A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMARCA4"	1	"Intolerant"	"non-eQTL"	NA	NA
"TNPO1"	1	"Intolerant"	"non-eQTL"	NA	NA
"AGO1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARHGAP35"	1	"Intolerant"	"non-eQTL"	NA	NA
"LRP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TOP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRIP12"	1	"Intolerant"	"non-eQTL"	NA	NA
"KMT2E"	1	"Intolerant"	"non-eQTL"	NA	NA
"HCFC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBTF"	1	"Intolerant"	"non-eQTL"	NA	NA
"HUWE1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KDM3B"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRRAP"	1	"Intolerant"	"non-eQTL"	NA	NA
"GRIN2B"	1	"Intolerant"	"non-eQTL"	NA	NA
"USP7"	1	"Intolerant"	"non-eQTL"	NA	NA
"ATP1A3"	1	"Intolerant"	"non-eQTL"	NA	NA
"ASH1L"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANKRD17"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMC1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"NPEPPS"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHERP"	1	"Intolerant"	"non-eQTL"	NA	NA
"MED13L"	1	"Intolerant"	"non-eQTL"	NA	NA
"RPRD2"	1	"Intolerant"	"non-eQTL"	NA	NA
"KMT2A"	1	"Intolerant"	"non-eQTL"	NA	NA
"CREBBP"	1	"Intolerant"	"non-eQTL"	NA	NA
"SF3B1"	1	"Intolerant"	"Cis"	"rs6434928"	-0.330439792128882
"EIF3B"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPFIA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZSWIM6"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRPF3"	1	"Intolerant"	"non-eQTL"	NA	NA
"KAT6A"	1	"Intolerant"	"non-eQTL"	NA	NA
"KMT2B"	1	"Intolerant"	"non-eQTL"	NA	NA
"SIN3A"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHD2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARID1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"GLTSCR1L"	1	"Intolerant"	"non-eQTL"	NA	NA
"SCN1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"MED12"	1	"Intolerant"	"non-eQTL"	NA	NA
"TJP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SPEN"	1	"Intolerant"	"non-eQTL"	NA	NA
"WDFY3"	1	"Intolerant"	"non-eQTL"	NA	NA
"HDAC6"	1	"Intolerant"	"non-eQTL"	NA	NA
"EHMT1"	1	"Intolerant"	"non-eQTL"	NA	NA
"JMJD1C"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAP3K12"	1	"Intolerant"	"non-eQTL"	NA	NA
"GGNBP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"CASK"	1	"Intolerant"	"non-eQTL"	NA	NA
"TLE3"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHD6"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBR5"	1	"Intolerant"	"non-eQTL"	NA	NA
"EIF4G1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NBEA"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMARCA5"	1	"Intolerant"	"non-eQTL"	NA	NA
"TSC2"	1	"Intolerant"	"non-eQTL"	NA	NA
"SUPT5H"	1	"Intolerant"	"non-eQTL"	NA	NA
"GREB1L"	1	"Intolerant"	"non-eQTL"	NA	NA
"PTCH1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHD7"	1	"Intolerant"	"non-eQTL"	NA	NA
"RAD54L2"	1	"Intolerant"	"non-eQTL"	NA	NA
"CNOT3"	1	"Intolerant"	"non-eQTL"	NA	NA
"AHDC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"U2SURP"	1	"Intolerant"	"non-eQTL"	NA	NA
"RBM25"	1	"Intolerant"	"non-eQTL"	NA	NA
"GIGYF2"	1	"Intolerant"	"non-eQTL"	NA	NA
"MBTD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"DCAF5"	1	"Intolerant"	"non-eQTL"	NA	NA
"SUV420H1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RABGAP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KHSRP"	1	"Intolerant"	"non-eQTL"	NA	NA
"TM9SF2"	1	"Intolerant"	"non-eQTL"	NA	NA
"MATR3"	1	"Intolerant"	"non-eQTL"	NA	NA
"PHF21A"	1	"Intolerant"	"non-eQTL"	NA	NA
"NAV1"	1	"Intolerant"	"non-eQTL"	NA	NA
"HIVEP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"OGT"	1	"Intolerant"	"non-eQTL"	NA	NA
"RBBP6"	1	"Intolerant"	"non-eQTL"	NA	NA
"GTPBP4"	1	"Intolerant"	"non-eQTL"	NA	NA
"MYBL1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TEX11"	1	"Intolerant"	"non-eQTL"	NA	NA
"DYNC1H1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SBNO1"	1	"Intolerant"	"non-eQTL"	NA	NA
"THOC2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRKCB"	1	"Intolerant"	"non-eQTL"	NA	NA
"INO80"	1	"Intolerant"	"non-eQTL"	NA	NA
"TAF4"	1	"Intolerant"	"non-eQTL"	NA	NA
"FLNA"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRIM28"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHD8"	1	"Intolerant"	"non-eQTL"	NA	NA
"RBM33"	1	"Intolerant"	"non-eQTL"	NA	NA
"SNRNP200"	1	"Intolerant"	"non-eQTL"	NA	NA
"XPO6"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMARCAD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"FRMPD4"	1	"Intolerant"	"non-eQTL"	NA	NA
"MACF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"WAC"	1	"Intolerant"	"non-eQTL"	NA	NA
